ticker,date,event,note
TXN,2011-09,acquired National Semiconductor (NSM exits),"manually curated, non-exhaustive; annotation layer, NOT a model input"
QCOM,2011-05,acquired Atheros (ATHR exits; patent composition),"manually curated, non-exhaustive; annotation layer, NOT a model input"
ATHR,2011-05,acquired by Qualcomm (exits; QCOM member by amendment),"manually curated, non-exhaustive; annotation layer, NOT a model input"
MCHP,2012-08,acquired Standard Microsystems,"manually curated, non-exhaustive; annotation layer, NOT a model input"
MU,2013-07,acquired Elpida Memory (patent composition),"manually curated, non-exhaustive; annotation layer, NOT a model input"
LSI,2014-05,acquired by Avago (exits),"manually curated, non-exhaustive; annotation layer, NOT a model input"
IRF,2015-01,acquired by Infineon (exits; acquirer outside universe),"manually curated, non-exhaustive; annotation layer, NOT a model input"
QRVO,2015-01,formed by RFMD + TriQuint merger (RFMD/TQNT exit),"manually curated, non-exhaustive; annotation layer, NOT a model input"
CODE,2015-03,Spansion merged into Cypress (exits),"manually curated, non-exhaustive; annotation layer, NOT a model input"
CY,2015-03,Spansion merged in (CODE exits; composition),"manually curated, non-exhaustive; annotation layer, NOT a model input"
ALTR,2015-12,acquired by Intel (exits),"manually curated, non-exhaustive; annotation layer, NOT a model input"
INTC,2015-12,acquired Altera (ALTR exits; patent composition),"manually curated, non-exhaustive; annotation layer, NOT a model input"
FSL,2015-12,acquired by NXP (exits),"manually curated, non-exhaustive; annotation layer, NOT a model input"
NXPI,2015-12,acquired Freescale (FSL exits; patent composition),"manually curated, non-exhaustive; annotation layer, NOT a model input"
OVTI,2016-01,acquired by Chinese consortium (exits),"manually curated, non-exhaustive; annotation layer, NOT a model input"
PMCS,2016-01,acquired by Microsemi (exits),"manually curated, non-exhaustive; annotation layer, NOT a model input"
MSCC,2016-01,acquired PMC-Sierra (PMCS exits; composition),"manually curated, non-exhaustive; annotation layer, NOT a model input"
BRCM,2016-02,acquired by Avago; Avago renamed Broadcom (exits),"manually curated, non-exhaustive; annotation layer, NOT a model input"
AVGO,2016-02,acquired Broadcom Corp (BRCM exits; composition),"manually curated, non-exhaustive; annotation layer, NOT a model input"
AVGO,2014-05,acquired LSI (LSI exits; patent composition),"manually curated, non-exhaustive; annotation layer, NOT a model input"
ATML,2016-04,acquired by Microchip (exits),"manually curated, non-exhaustive; annotation layer, NOT a model input"
MCHP,2016-04,acquired Atmel (ATML exits; patent composition),"manually curated, non-exhaustive; annotation layer, NOT a model input"
FCS,2016-09,acquired by onsemi (exits),"manually curated, non-exhaustive; annotation layer, NOT a model input"
ON,2016-09,acquired Fairchild (FCS exits; patent composition),"manually curated, non-exhaustive; annotation layer, NOT a model input"
ISIL,2017-02,acquired by Renesas (exits; acquirer outside universe),"manually curated, non-exhaustive; annotation layer, NOT a model input"
LLTC,2017-03,acquired by Analog Devices (exits),"manually curated, non-exhaustive; annotation layer, NOT a model input"
ADI,2017-03,acquired Linear (LLTC exits; patent composition),"manually curated, non-exhaustive; annotation layer, NOT a model input"
MXL,2017-05,acquired Exar,"manually curated, non-exhaustive; annotation layer, NOT a model input"
MSCC,2018-05,acquired by Microchip (exits),"manually curated, non-exhaustive; annotation layer, NOT a model input"
MCHP,2018-05,acquired Microsemi (MSCC exits; composition),"manually curated, non-exhaustive; annotation layer, NOT a model input"
MRVL,2018-07,acquired Cavium (CAVM exits; patent composition),"manually curated, non-exhaustive; annotation layer, NOT a model input"
IDTI,2019-03,acquired by Renesas (exits; acquirer outside universe),"manually curated, non-exhaustive; annotation layer, NOT a model input"
NVDA,2020-04,acquired Mellanox (MLNX exits; patent composition),"manually curated, non-exhaustive; annotation layer, NOT a model input"
CY,2020-04,acquired by Infineon (exits; acquirer outside universe),"manually curated, non-exhaustive; annotation layer, NOT a model input"
ALGM,2020-10,IPO (financial series starts; patents reach back),"manually curated, non-exhaustive; annotation layer, NOT a model input"
MRVL,2021-04,acquired Inphi (IPHI exits; patent composition),"manually curated, non-exhaustive; annotation layer, NOT a model input"
SWKS,2021-07,acquired Silicon Labs infrastructure & automotive unit,"manually curated, non-exhaustive; annotation layer, NOT a model input"
SLAB,2021-07,sold infrastructure & automotive unit to Skyworks,"manually curated, non-exhaustive; annotation layer, NOT a model input"
MXIM,2021-08,acquired by Analog Devices (exits),"manually curated, non-exhaustive; annotation layer, NOT a model input"
ADI,2021-08,acquired Maxim (MXIM exits; patent composition),"manually curated, non-exhaustive; annotation layer, NOT a model input"
WOLF,2021-03,CreeLED divested to SMART Global (patent composition),"manually curated, non-exhaustive; annotation layer, NOT a model input"
WOLF,2021-10,Cree renamed Wolfspeed (same CIK; assignee names change),"manually curated, non-exhaustive; annotation layer, NOT a model input"
AMD,2022-02,acquired Xilinx (XLNX exits; patent composition),"manually curated, non-exhaustive; annotation layer, NOT a model input"
MTSI,2023-08,acquired Wolfspeed RF business (composition),"manually curated, non-exhaustive; annotation layer, NOT a model input"
