included,ticker,label,ciks,assignee_prefixes,exclusions,allowlist,is_case_company,delisted,first_fin_quarter,last_fin_quarter,flags,notes
True,NVDA,NVIDIA,1045810,NVIDIA%,,,True,,2008Q2,2026Q1,M&A: Mellanox 2020 (patent composition),
True,AMD,AMD,2488,ADVANCED MICRO DEVICES%,,,True,,2009Q2,2026Q1,M&A: Xilinx 2022 (patent composition),
True,MRVL,Marvell,1835632;1058057,MARVELL%,MARVELLUM%;MARVELLOUS%;MARVELLA%;MARVELLY%;MARVELLE %;MARVELLI %;MARVELL KRISTAN%;MARVELL WILLIAM%;MARVELL TOWNSEND%,,True,,2008Q2,2026Q1,"predecessor CIK merged (Marvell Technology Group) | M&A: Cavium 2018, Inphi 2021 (patent composition)",
True,MU,Micron,723125,MICRON%,MICRONAS%;MICRONIC%,MICRON TECH%;MICRON TEHNOLOGY%;MICRON TECNOLOGY%;MICRON TCHNOLOGY%;MICRON TEDHNOLOGY%;MICRONG TECHNOLOGY%;MICRONTECHNOLOGY%;MICRONBTECHNOLOGY%;MICRON ELECTRONIC%;MICRON ELETRONICS%;MICRON ELECTONICS%;MICRON SEMICONDUCTOR%;MICRON COMMUNICATION%;MICRON DISPLAY%;MICRON QUANTUM%;MICRONPC%;MICRON PC%;MICRON CUSTOM MANUFACTURING%;MICRON MEMORY%,True,,2008Q4,2026Q1,M&A: Elpida 2013 (patent composition),
True,INTC,Intel,50863,INTEL CORP%;INTEL IP%;INTEL AMERICAS%;INTEL MOBILE%;INTEL DEUTSCHLAND%,,,False,,2008Q2,2026Q1,,bare INTEL% would catch INTELLECTUAL/INTELLIGENT/INTELLON -> entity-specific prefixes; audit shows what each catches
True,TXN,Texas Instruments,97476,TEXAS INSTRUMENTS%,,,False,,2008Q2,2026Q1,M&A: National Semiconductor 2011 (patent composition),
True,AVGO,Broadcom (Avago lineage),1730168;1441634,AVAGO%;BROADCOM INTERNATIONAL%,,,False,,2009Q4,2026Q1,"predecessor CIK merged (Avago Technologies Ltd) | BROADCOM% assignee names pre-2016 belong to BRCM (separate member); post-2018 'BROADCOM INC' filings belong HERE — REVIEW the split in the audit | M&A: LSI 2014, Broadcom Corp 2016 (patent composition)",
True,NXPI,NXP Semiconductors,1413447,NXP%,,,False,,2018Q3,2026Q1,"M&A: Freescale 2015 (patent composition) | filed 20-F as foreign private issuer until ~2017 -> quarterly XBRL only from 2018 (structural, not a bug)",
True,ADI,Analog Devices,6281,ANALOG DEVICES%,,,False,,2008Q2,2026Q1,"M&A: Linear 2017, Maxim 2021 (patent composition)",
True,MCHP,Microchip,827054,MICROCHIP TECH%,,,False,,2008Q2,2026Q1,"M&A: SMSC 2012, Atmel 2016, Microsemi 2018 (composition)",harmonized name is MICROCHIP TECH INC (BQ probe); prefix also avoids GENESIS MICROCHIP and MICROCHIPS INC (different cos)
